                                                                               1 Aug 2018 13:00:48
Approved for Personal Home Use Only
Satellite-KickSat2-To-Facility-Facility1:  Access Summary Report


KickSat2-To-Facility1
---------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     148    24 Jan 2019 15:15:56.368    24 Jan 2019 15:20:10.404           254.036
                     149    25 Jan 2019 07:52:59.132    25 Jan 2019 07:57:10.181           251.050
                     150    25 Jan 2019 14:22:21.311    25 Jan 2019 14:25:51.906           210.595
                     151    25 Jan 2019 15:59:58.553    25 Jan 2019 16:00:39.232            40.679
                     152    26 Jan 2019 06:59:47.663    26 Jan 2019 07:02:46.827           179.164
                     153    26 Jan 2019 08:36:16.636    26 Jan 2019 08:39:00.001           163.366
                     154    26 Jan 2019 13:29:27.250    26 Jan 2019 13:30:40.885            73.635
                     155    26 Jan 2019 15:04:39.795    26 Jan 2019 15:08:28.414           228.619
                     156    27 Jan 2019 07:41:38.896    27 Jan 2019 07:45:38.425           239.529
                     157    27 Jan 2019 14:10:36.028    27 Jan 2019 14:14:51.921           255.893
                     158    28 Jan 2019 06:47:37.459    28 Jan 2019 06:51:52.024           254.565
                     159    28 Jan 2019 13:16:56.876    28 Jan 2019 13:20:39.554           222.679
                     160    29 Jan 2019 05:54:15.852    29 Jan 2019 05:57:36.893           201.041
                     161    29 Jan 2019 07:31:10.870    29 Jan 2019 07:33:30.376           139.506
                     162    29 Jan 2019 12:23:48.993    29 Jan 2019 12:25:44.408           115.415
                     163    29 Jan 2019 13:59:26.043    29 Jan 2019 14:03:01.027           214.985
                     164    30 Jan 2019 06:36:24.448    30 Jan 2019 06:40:15.426           230.977
                     165    30 Jan 2019 13:05:16.417    30 Jan 2019 13:09:32.346           255.929
                     166    31 Jan 2019 05:42:16.972    31 Jan 2019 05:46:33.039           256.067
                     167    31 Jan 2019 12:11:33.268    31 Jan 2019 12:15:26.014           232.746
                     168     1 Feb 2019 04:48:46.734     1 Feb 2019 04:52:24.597           217.863
                     169     1 Feb 2019 06:26:08.700     1 Feb 2019 06:27:57.518           108.818
                     170     1 Feb 2019 11:18:16.925     1 Feb 2019 11:20:41.381           144.456
                     171     1 Feb 2019 12:54:14.138     1 Feb 2019 12:57:31.458           197.320
                     172     2 Feb 2019 05:31:11.129     2 Feb 2019 05:34:51.667           220.539
                     173     2 Feb 2019 11:59:57.581     2 Feb 2019 12:04:11.640           254.059
                     174     3 Feb 2019 04:36:57.607     3 Feb 2019 04:41:13.286           255.679
                     175     3 Feb 2019 11:06:10.410     3 Feb 2019 11:10:11.355           240.945
                     176     4 Feb 2019 03:43:19.712     4 Feb 2019 03:47:10.543           230.831
                     177     4 Feb 2019 05:21:14.641     4 Feb 2019 05:22:16.909            62.268
                     178     4 Feb 2019 10:12:47.744     4 Feb 2019 10:15:35.100           167.356
                     179     4 Feb 2019 11:49:04.754     4 Feb 2019 11:51:59.034           174.281
                     180     5 Feb 2019 02:50:58.235     5 Feb 2019 02:52:02.099            63.864
                     181     5 Feb 2019 04:25:59.023     5 Feb 2019 04:29:27.061           208.038
                     182     5 Feb 2019 10:54:39.593     5 Feb 2019 10:58:49.731           250.138
                     183     6 Feb 2019 03:31:39.324     6 Feb 2019 03:35:52.810           253.486
                     184     6 Feb 2019 10:00:48.261     6 Feb 2019 10:04:55.627           247.367
                     185     7 Feb 2019 02:37:54.426     7 Feb 2019 02:41:55.098           240.672
                     186     7 Feb 2019 09:07:20.393     7 Feb 2019 09:10:26.635           186.242
                     187     7 Feb 2019 10:43:59.263     7 Feb 2019 10:46:22.392           143.129
                     188     8 Feb 2019 01:45:05.753     8 Feb 2019 01:47:11.990           126.237
                     189     8 Feb 2019 03:20:48.257     8 Feb 2019 03:24:01.486           193.229
                     190     8 Feb 2019 09:49:22.551     8 Feb 2019 09:53:26.535           243.983
                     191     9 Feb 2019 02:26:22.102     9 Feb 2019 02:30:31.639           249.536
                     192     9 Feb 2019 08:55:26.803     9 Feb 2019 08:59:38.845           252.042
                     193    10 Feb 2019 01:32:30.647    10 Feb 2019 01:36:38.496           247.850
                     194    10 Feb 2019 08:01:54.357    10 Feb 2019 08:05:16.485           202.127
                     195    10 Feb 2019 09:39:01.575    10 Feb 2019 09:40:37.625            96.051
                     196    11 Feb 2019 00:39:26.500    11 Feb 2019 00:42:08.979           162.479
                     197    11 Feb 2019 02:15:39.051    11 Feb 2019 02:18:34.718           175.668
                     198    11 Feb 2019 07:09:21.768    11 Feb 2019 07:09:42.756            20.989
                     199    11 Feb 2019 08:44:06.594    11 Feb 2019 08:48:01.909           235.314
                     200    12 Feb 2019 01:21:05.934    12 Feb 2019 01:25:09.777           243.843
                     201    12 Feb 2019 07:50:06.038    12 Feb 2019 07:54:21.008           254.969
                     202    13 Feb 2019 00:27:08.215    13 Feb 2019 00:31:20.894           252.679
                     203    13 Feb 2019 06:56:29.373    13 Feb 2019 07:00:04.917           215.544
                     204    13 Feb 2019 23:33:52.547    13 Feb 2019 23:37:00.995           188.447
                     205    14 Feb 2019 01:10:31.784    14 Feb 2019 01:13:06.380           154.597
                     206    14 Feb 2019 06:03:28.848    14 Feb 2019 06:05:01.165            92.317
                     207    14 Feb 2019 07:38:51.921    14 Feb 2019 07:42:35.657           223.736
                     208    15 Feb 2019 00:15:50.829    15 Feb 2019 00:19:47.221           236.392
                     209    15 Feb 2019 06:44:45.981    15 Feb 2019 06:49:02.108           256.126
                     210    15 Feb 2019 23:21:47.020    15 Feb 2019 23:26:02.408           255.388
                     211    16 Feb 2019 05:51:05.279    16 Feb 2019 05:54:52.093           226.814
                     212    16 Feb 2019 22:28:21.891    16 Feb 2019 22:31:50.043           208.152
                     213    17 Feb 2019 00:05:27.216    17 Feb 2019 00:07:35.708           128.492
                     214    17 Feb 2019 04:57:53.761    17 Feb 2019 05:00:01.386           127.625
                     215    17 Feb 2019 06:33:38.830    17 Feb 2019 06:37:07.485           208.655
                     216    17 Feb 2019 23:10:36.822    17 Feb 2019 23:14:23.933           227.111
                     217    18 Feb 2019 05:39:26.669    18 Feb 2019 05:43:42.103           255.433
                     218    18 Feb 2019 22:16:26.985    18 Feb 2019 22:20:43.119           256.134
                     219    19 Feb 2019 04:45:41.976    19 Feb 2019 04:49:38.117           236.141
                     220    19 Feb 2019 21:22:53.657    19 Feb 2019 21:26:37.012           223.354
                     221    19 Feb 2019 23:00:27.262    19 Feb 2019 23:02:00.784            93.522
                     222    20 Feb 2019 03:52:23.018    20 Feb 2019 03:54:56.905           153.887
                     223    20 Feb 2019 05:28:27.805    20 Feb 2019 05:31:36.922           189.117
                     224    20 Feb 2019 22:05:23.971    20 Feb 2019 22:08:59.861           215.890
                     225    21 Feb 2019 04:34:08.158    21 Feb 2019 04:38:20.950           252.792
                     226    21 Feb 2019 21:11:08.055    21 Feb 2019 21:15:23.082           255.027
                     227    22 Feb 2019 03:40:19.404    22 Feb 2019 03:44:23.043           243.639
                     228    22 Feb 2019 20:17:27.358    22 Feb 2019 20:21:22.386           235.028
                     229    22 Feb 2019 21:55:43.863    22 Feb 2019 21:56:09.670            25.807
                     230    23 Feb 2019 02:46:54.635    23 Feb 2019 02:49:49.701           175.066
                     231    23 Feb 2019 04:23:19.706    23 Feb 2019 04:26:03.101           163.395
                     232    23 Feb 2019 19:24:52.424    23 Feb 2019 19:26:26.682            94.258
                     233    23 Feb 2019 21:00:12.375    23 Feb 2019 21:03:34.905           202.530
                     234    24 Feb 2019 03:28:50.530    24 Feb 2019 03:32:58.563           248.033
                     235    24 Feb 2019 20:05:50.195    24 Feb 2019 20:10:02.341           252.147
                     236    25 Feb 2019 02:34:57.529    25 Feb 2019 02:39:06.912           249.383
                     237    25 Feb 2019 19:12:02.692    25 Feb 2019 19:16:06.468           243.776
                     238    26 Feb 2019 01:41:27.836    26 Feb 2019 01:44:40.548           192.711
                     239    26 Feb 2019 03:18:16.481    26 Feb 2019 03:20:24.083           127.602
                     240    26 Feb 2019 18:19:07.287    26 Feb 2019 18:21:29.367           142.080
                     241    26 Feb 2019 19:55:02.191    26 Feb 2019 19:58:08.902           186.711
                     242    27 Feb 2019 02:23:33.895    27 Feb 2019 02:27:34.832           240.937
                     243    27 Feb 2019 19:00:33.388    27 Feb 2019 19:04:40.906           247.518
                     244    28 Feb 2019 01:29:36.342    28 Feb 2019 01:33:49.727           253.385
                     245    28 Feb 2019 18:06:39.461    28 Feb 2019 18:10:49.461           250.001
                     246     1 Mar 2019 00:36:02.235     1 Mar 2019 00:39:29.831           207.596
                     247     1 Mar 2019 02:13:25.545     1 Mar 2019 02:14:32.445            66.899
                     248     1 Mar 2019 17:13:30.497     1 Mar 2019 17:16:24.027           173.530
                     249     1 Mar 2019 18:49:53.680     1 Mar 2019 18:52:41.589           167.909
                     250     1 Mar 2019 23:43:13.258     1 Mar 2019 23:44:13.286            60.028
                     251     2 Mar 2019 01:18:18.414     2 Mar 2019 01:22:09.606           231.193
                     252     2 Mar 2019 17:55:17.635     2 Mar 2019 17:59:18.781           241.146
                     253     3 Mar 2019 00:24:15.853     3 Mar 2019 00:28:31.486           255.634
                     254     3 Mar 2019 17:01:17.528     3 Mar 2019 17:05:31.506           253.978
                     255     3 Mar 2019 23:30:37.611     3 Mar 2019 23:34:17.768           220.156
                     256     4 Mar 2019 16:07:57.989     4 Mar 2019 16:11:14.737           196.748
                     257     4 Mar 2019 17:44:47.339     4 Mar 2019 17:47:12.477           145.138
                     258     4 Mar 2019 22:37:32.158     4 Mar 2019 22:39:19.744           107.587
                     259     5 Mar 2019 00:13:04.318     5 Mar 2019 00:16:42.655           218.337
                     260     5 Mar 2019 16:50:02.954     5 Mar 2019 16:53:55.950           232.996
                     261     5 Mar 2019 23:18:56.082     5 Mar 2019 23:23:12.165           256.082
                     262     6 Mar 2019 15:55:56.797     6 Mar 2019 16:00:12.701           255.904
                     263     6 Mar 2019 22:25:13.832     6 Mar 2019 22:29:04.491           230.659
                     264     7 Mar 2019 15:02:28.359     7 Mar 2019 15:06:02.896           214.537
                     265     7 Mar 2019 16:39:44.198     7 Mar 2019 16:41:40.523           116.325
                     266     7 Mar 2019 21:31:59.152     7 Mar 2019 21:34:17.746           138.594
                     267     7 Mar 2019 23:07:51.967     7 Mar 2019 23:11:13.627           201.660
                     268     8 Mar 2019 15:44:49.385     8 Mar 2019 15:48:32.374           222.989
                     269     8 Mar 2019 22:13:37.075     8 Mar 2019 22:17:51.720           254.645
                     270     9 Mar 2019 14:50:37.198     9 Mar 2019 14:54:53.117           255.920
                     271     9 Mar 2019 21:19:50.814     9 Mar 2019 21:23:50.087           239.272
                     272    10 Mar 2019 13:57:00.925    10 Mar 2019 14:00:49.194           228.269
                     273    10 Mar 2019 15:34:47.422    10 Mar 2019 15:36:02.566            75.144
                     274    10 Mar 2019 20:26:29.446    10 Mar 2019 20:29:12.084           162.638
                     275    10 Mar 2019 22:02:41.948    10 Mar 2019 22:05:41.925           179.977
                     276    11 Mar 2019 13:04:52.461    11 Mar 2019 13:05:28.149            35.688
                     277    11 Mar 2019 14:39:37.003    11 Mar 2019 14:43:07.976           210.974
                     278    11 Mar 2019 21:08:18.896    11 Mar 2019 21:12:30.095           251.199
                     279    12 Mar 2019 13:45:18.683    12 Mar 2019 13:49:32.804           254.121
                     280    12 Mar 2019 20:14:28.511    12 Mar 2019 20:18:34.601           246.089
                     281    13 Mar 2019 12:51:35.288    13 Mar 2019 12:55:34.032           238.744
                     282    13 Mar 2019 19:21:01.732    13 Mar 2019 19:24:04.063           182.331
                     283    13 Mar 2019 20:57:35.412    13 Mar 2019 21:00:06.406           150.993
                     284    14 Mar 2019 11:58:51.022    14 Mar 2019 12:00:46.936           115.914
                     285    14 Mar 2019 13:34:25.922    14 Mar 2019 13:37:42.642           196.720
                     286    14 Mar 2019 20:03:01.639    14 Mar 2019 20:07:07.196           245.557
                     287    15 Mar 2019 12:40:01.230    15 Mar 2019 12:44:11.787           250.557
                     288    15 Mar 2019 19:09:06.900    15 Mar 2019 19:13:18.054           251.154
                     289    16 Mar 2019 11:46:11.197    16 Mar 2019 11:50:17.668           246.471
                     290    16 Mar 2019 18:15:35.428    16 Mar 2019 18:18:54.266           198.838
                     291    16 Mar 2019 19:52:35.316    16 Mar 2019 19:54:24.127           108.812
